freq,unit,indic,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,INV_BSN,AT	14.44 	14.73 	14.62 	14.69 	15.13 	15.28 	15.76 	16.38 	16.00 	16.07 	15.71 	: 
A,PC,INV_BSN,BE	14.78 	14.37 	14.59 	15.01 	15.41 	15.43 	15.52 	15.95 	15.67 	15.47 	15.65 p	: 
A,PC,INV_BSN,BG	16.25 	15.58 	14.37 	13.61 	12.76 	13.97 	: 	: 	: 	: 	: 	: 
A,PC,INV_BSN,CH	19.03 	18.96 	19.17 	19.12 	19.37 	20.02 	19.60 	19.70 	19.86 	19.63 p	19.71 p	: 
A,PC,INV_BSN,CY	6.57 	6.84 	6.45 	6.20 	10.25 	12.13 	6.30 	7.80 	9.20 	7.33 	8.10 p	: 
A,PC,INV_BSN,CZ	15.79 	15.79 	15.36 	15.36 	15.60 	15.51 	14.92 	15.43 	14.56 	15.32 	16.39 	15.95 
A,PC,INV_BSN,DE	11.76 	11.46 	11.71 	11.90 	11.96 	12.16 	12.50 	12.66 p	12.26 p	12.01 p	12.45 p	12.35 p
A,PC,INV_BSN,DK	10.96 	11.38 	11.74 	12.24 	13.31 	13.57 	13.94 	13.65 	14.12 	14.15 	14.32 	14.09 
A,PC,INV_BSN,EA20	11.49 	11.27 	11.45 	12.02 	12.31 	12.56 	12.74 	13.77 	13.27 	12.63 	12.90 	12.65 
A,PC,INV_BSN,EE	18.70 	18.14 	16.40 	14.72 	14.90 	15.12 	16.83 	16.92 	18.35 	18.27 	16.90 	: 
A,PC,INV_BSN,EL	4.75 	4.52 	5.02 	5.09 	5.60 	5.48 	6.31 	6.44 	6.81 p	7.25 p	7.42 p	: 
A,PC,INV_BSN,ES	11.26 	11.86 	12.65 	12.53 	13.08 	13.48 	13.95 	14.39 	14.13 	13.04 	12.92 	: 
A,PC,INV_BSN,EU27_2020	11.76 	11.58 	11.80 	12.33 	12.60 	12.79 	12.99 	13.90 	13.46 	12.88 	13.17 	12.94 
A,PC,INV_BSN,FI	11.96 	11.07 	10.87 	11.34 	11.89 	12.37 	12.65 	12.40 	12.24 	12.58 	12.77 	12.50 
A,PC,INV_BSN,FR	12.40 	12.18 	12.37 	12.53 	12.81 	13.27 	13.55 	13.78 	13.64 	14.27 p	14.78 p	: 
A,PC,INV_BSN,HR	12.04 	12.03 	12.17 	12.59 	13.33 	13.75 	13.18 	12.90 	12.28 	11.67 	11.40 p	: 
A,PC,INV_BSN,HU	12.58 	13.53 	13.73 	12.48 	13.01 	13.87 	14.76 	16.40 	14.85 	16.07 	16.74 p	: 
A,PC,INV_BSN,IE	15.46 	14.46 	16.37 	20.62 	31.98 	29.27 	24.18 	50.48 	38.45 	18.92 	17.77 	: 
A,PC,INV_BSN,IS	10.89 	10.19 	11.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,INV_BSN,IT	9.45 	8.93 	9.09 	9.38 	9.70 	10.09 	10.51 	10.60 	10.31 	10.65 	11.25 	10.52 
A,PC,INV_BSN,LT	10.35 	11.13 	11.59 	11.73 	12.35 	12.84 	13.58 	13.91 	12.17 	13.91 	13.31 	: 
A,PC,INV_BSN,LU	11.18 	10.51 	10.56 	8.81 	8.84 	9.05 	7.88 	9.94 	7.65 	9.55 	8.22 	: 
A,PC,INV_BSN,LV	17.04 	16.84 	15.08 	13.45 	12.61 	12.89 	12.88 	13.24 	13.19 	13.92 	15.11 	: 
A,PC,INV_BSN,NL	10.18 	10.37 	9.34 	13.26 	10.43 	10.53 	10.31 	10.89 	10.65 	10.43 	10.49 	10.36 p
A,PC,INV_BSN,NO	13.16 	13.52 	13.57 	13.04 	13.35 	12.53 	12.41 	14.65 	14.90 	12.40 	10.87 	: 
A,PC,INV_BSN,PL	9.40 	9.80 	10.37 	11.01 	10.42 	9.50 	10.52 	11.02 	10.55 	8.92 	9.17 	: 
A,PC,INV_BSN,PT	9.62 	9.42 	9.84 	10.09 	10.63 	11.51 	11.90 	12.38 	12.75 	13.19 	13.49 p	13.03 p
A,PC,INV_BSN,RO	16.82 	14.69 	14.65 	14.17 	13.59 	11.74 	11.40 	12.63 	10.65 p	: 	: 	: 
A,PC,INV_BSN,RS	14.70 p	12.01 p	11.01 p	11.69 p	11.20 p	11.28 p	12.79 p	14.46 p	13.58 p	14.00 p	14.92 p	: 
A,PC,INV_BSN,SE	15.11 	14.73 	15.34 	15.64 	15.89 	16.07 	16.11 	15.55 	15.64 	16.46 	16.99 	16.89 
A,PC,INV_BSN,SI	11.34 	11.83 	10.54 	10.34 	10.65 	11.48 	11.75 	11.90 	11.11 	11.62 	12.07 	: 
A,PC,INV_BSN,SK	13.13 	12.91 	12.61 	13.72 	13.56 	13.67 	12.93 	13.66 	11.56 	11.44 	12.11 	12.89 
A,PC,INV_BSN,TR	16.28 p	16.04 p	16.67 p	17.57 p	17.24 p	16.86 p	16.70 p	15.70 p	16.30 p	18.25 p	19.03 p	: 
A,PC,INV_BSN,UK	9.50 	9.66 	9.89 	10.39 	10.76 	10.69 	10.57 	10.58 	: 	: 	: 	: 
A,PC,INV_GOV,AT	2.94 	3.04 	2.96 	2.98 	2.98 	3.11 	3.07 	3.12 	3.32 	3.56 	3.39 	: 
A,PC,INV_GOV,BE	2.48 	2.33 	2.56 	2.49 	2.41 	2.41 	2.63 	2.61 	2.73 	2.73 	2.73 	: 
A,PC,INV_GOV,BG	3.41 	4.06 	5.20 	6.64 	2.61 	2.25 	: 	: 	: 	: 	: 	: 
A,PC,INV_GOV,CH	2.96 	2.95 	2.99 	3.02 	2.97 	3.03 	3.01 	3.13 	3.36 	3.10 	3.03 	: 
A,PC,INV_GOV,CY	2.90 	2.30 	2.07 	2.17 	2.45 	2.66 	4.91 	2.46 	2.76 	2.63 	2.57 	: 
A,PC,INV_GOV,CZ	4.09 	3.67 	4.08 	5.08 	3.21 	3.30 	4.10 	4.29 	4.75 	4.55 	4.53 	4.85 
A,PC,INV_GOV,DE	2.21 	2.18 	2.10 	2.14 	2.19 	2.23 	2.37 	2.41 	2.68 	2.57 	2.60 	2.63 
A,PC,INV_GOV,DK	3.79 	3.64 	3.83 	3.61 	3.75 	3.36 	3.40 	3.23 	3.56 	3.18 	3.05 	3.14 
A,PC,INV_GOV,EA20	3.13 	3.02 	2.87 	2.87 	2.75 	2.74 	2.81 	2.90 	3.16 	3.12 	3.10 	3.28 
A,PC,INV_GOV,EE	6.32 	5.57 	5.01 	5.22 	4.63 	5.69 	5.29 	4.93 	5.70 	5.64 	5.14 	: 
A,PC,INV_GOV,EL	2.56 	3.46 	3.71 	3.86 	3.57 	4.54 	3.25 	2.50 	3.12 	3.65 	3.53 	: 
A,PC,INV_GOV,ES	3.14 	2.41 	2.13 	2.60 	2.00 	1.98 	2.15 	2.18 	2.65 	2.75 	2.77 	: 
A,PC,INV_GOV,EU27_2020	3.30 	3.19 	3.11 	3.13 	2.90 	2.90 	3.03 	3.11 	3.39 	3.32 	3.27 	3.52 
A,PC,INV_GOV,FI	4.03 	4.16 	4.19 	3.74 	4.15 	4.07 	4.28 	4.38 	4.84 	4.18 	4.21 	4.03 
A,PC,INV_GOV,FR	4.05 	3.98 	3.70 	3.41 	3.36 	3.33 	3.40 	3.65 	3.67 	3.60 	3.73 	: 
A,PC,INV_GOV,HR	3.70 	4.08 	3.74 	3.52 	3.23 	2.71 	3.45 	4.32 	5.54 	4.67 	3.77 	: 
A,PC,INV_GOV,HU	3.69 	4.35 	5.32 	6.52 	3.16 	4.53 	5.79 	6.26 	6.47 	6.29 	5.41 	: 
A,PC,INV_GOV,IE	2.06 	2.03 	2.18 	1.74 	1.98 	1.86 	2.02 	2.27 	2.30 	2.01 	2.06 	: 
A,PC,INV_GOV,IS	2.59 	2.82 	3.04 	2.89 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,INV_GOV,IT	2.64 	2.51 	2.32 	2.40 	2.30 	2.20 	2.13 	2.31 	2.59 	2.88 	2.70 	3.20 
A,PC,INV_GOV,LT	3.97 	3.75 	3.53 	3.69 	3.04 	3.23 	3.19 	3.17 	4.54 	3.19 	3.17 	: 
A,PC,INV_GOV,LU	3.91 	3.48 	3.65 	3.86 	3.81 	4.04 	3.92 	4.12 	4.68 	4.08 	4.11 	: 
